condition,architecture,turns,state_recall,state_precision,decision_error_rate,coverage,error_exposures,propagated,ambiguous,sepr
clean,A,100,0.6283333333333333,0.7113207547169811,0.73,1.0,0,0,0,
clean,B,100,0.54,0.7074235807860262,0.84,1.0,134,122,0,0.9104477611940298
clean,C,100,0.49,0.735,0.84,0.33,106,103,0,0.9716981132075472
missing_evidence,A,100,0.6898496240601504,0.7296222664015904,0.66,1.0,0,0,0,
missing_evidence,B,100,0.5469924812030075,0.7114914425427873,0.82,0.99,118,102,1,0.864406779661017
missing_evidence,C,100,0.5093984962406015,0.7324324324324324,0.76,0.22,99,88,0,0.8888888888888888
contradictory_evidence,A,65,0.6230769230769231,0.6787709497206704,0.7846153846153846,1.0,0,0,0,
contradictory_evidence,B,65,0.5102564102564102,0.7132616487455197,0.8769230769230769,1.0,80,69,0,0.8625
contradictory_evidence,C,65,0.45384615384615384,0.7564102564102564,0.8615384615384616,0.15384615384615385,57,53,0,0.9298245614035088
superseded_appraisal,A,65,0.6384615384615384,0.7114285714285714,0.6923076923076923,1.0,0,0,0,
superseded_appraisal,B,65,0.47692307692307695,0.7153846153846154,0.8461538461538461,1.0,74,60,2,0.8108108108108109
superseded_appraisal,C,65,0.4358974358974359,0.74235807860262,0.8615384615384616,0.23076923076923078,59,56,0,0.9491525423728814
unsupported_inference,A,100,0.5983333333333334,0.7066929133858267,0.75,1.0,0,0,0,
unsupported_inference,B,100,0.5033333333333333,0.6637362637362637,0.88,0.98,153,141,1,0.9215686274509803
unsupported_inference,C,100,0.4866666666666667,0.7355163727959698,0.83,0.25,105,99,0,0.9428571428571428
stale_state,A,100,0.6785714285714286,0.5599214145383105,0.82,1.0,0,0,0,
stale_state,B,100,0.5261904761904762,0.48358862144420134,0.89,1.0,236,101,0,0.4279661016949153
stale_state,C,100,0.47619047619047616,0.6944444444444444,0.88,0.14,88,38,1,0.4318181818181818
