audit_id,rater_id,overall_failure
AUD-0001,RATER-01,false
AUD-0002,RATER-01,false
AUD-0003,RATER-01,false
AUD-0004,RATER-01,false
AUD-0005,RATER-01,ambiguous
AUD-0006,RATER-01,false
AUD-0007,RATER-01,false
AUD-0008,RATER-01,false
AUD-0009,RATER-01,false
AUD-0010,RATER-01,false
AUD-0011,RATER-01,false
AUD-0012,RATER-01,false
AUD-0013,RATER-01,false
AUD-0014,RATER-01,false
AUD-0015,RATER-01,false
AUD-0016,RATER-01,false
AUD-0017,RATER-01,false
AUD-0018,RATER-01,false
AUD-0019,RATER-01,false
AUD-0020,RATER-01,false
AUD-0021,RATER-01,false
AUD-0022,RATER-01,false
AUD-0023,RATER-01,false
AUD-0024,RATER-01,false
AUD-0025,RATER-01,false
AUD-0026,RATER-01,false
AUD-0027,RATER-01,false
AUD-0028,RATER-01,false
AUD-0029,RATER-01,false
AUD-0030,RATER-01,false
AUD-0031,RATER-01,false
AUD-0032,RATER-01,false
AUD-0033,RATER-01,false
AUD-0034,RATER-01,false
AUD-0035,RATER-01,false
AUD-0036,RATER-01,false
AUD-0037,RATER-01,false
AUD-0038,RATER-01,true
AUD-0039,RATER-01,false
AUD-0040,RATER-01,false
AUD-0041,RATER-01,false
AUD-0042,RATER-01,false
AUD-0043,RATER-01,false
AUD-0044,RATER-01,false
AUD-0045,RATER-01,false
AUD-0046,RATER-01,false
AUD-0047,RATER-01,false
AUD-0048,RATER-01,false
AUD-0049,RATER-01,false
AUD-0050,RATER-01,false
AUD-0051,RATER-01,false
AUD-0052,RATER-01,false
AUD-0053,RATER-01,false
AUD-0054,RATER-01,false
AUD-0055,RATER-01,false
AUD-0056,RATER-01,false
AUD-0057,RATER-01,false
AUD-0058,RATER-01,false
AUD-0059,RATER-01,false
AUD-0060,RATER-01,false
AUD-0061,RATER-01,false
AUD-0062,RATER-01,false
AUD-0063,RATER-01,false
AUD-0064,RATER-01,false
AUD-0065,RATER-01,false
AUD-0066,RATER-01,false
AUD-0067,RATER-01,false
AUD-0068,RATER-01,false
AUD-0069,RATER-01,false
AUD-0070,RATER-01,false
AUD-0071,RATER-01,false
AUD-0072,RATER-01,false
AUD-0073,RATER-01,false
AUD-0074,RATER-01,false
AUD-0075,RATER-01,false
AUD-0076,RATER-01,false
AUD-0077,RATER-01,false
AUD-0078,RATER-01,false
AUD-0079,RATER-01,false
AUD-0080,RATER-01,false
AUD-0081,RATER-01,false
AUD-0082,RATER-01,false
AUD-0083,RATER-01,false
AUD-0084,RATER-01,false
AUD-0085,RATER-01,false
AUD-0086,RATER-01,false
AUD-0087,RATER-01,false
AUD-0088,RATER-01,false
AUD-0089,RATER-01,false
AUD-0090,RATER-01,false
AUD-0091,RATER-01,false
AUD-0092,RATER-01,false
AUD-0093,RATER-01,false
AUD-0094,RATER-01,false
AUD-0095,RATER-01,false
AUD-0096,RATER-01,false
AUD-0097,RATER-01,false
AUD-0098,RATER-01,false
AUD-0099,RATER-01,false
AUD-0100,RATER-01,false
AUD-0101,RATER-01,false
AUD-0102,RATER-01,false
AUD-0103,RATER-01,false
AUD-0104,RATER-01,false
AUD-0105,RATER-01,false
AUD-0106,RATER-01,false
AUD-0107,RATER-01,false
AUD-0108,RATER-01,false
AUD-0109,RATER-01,false
AUD-0110,RATER-01,false
AUD-0111,RATER-01,false
AUD-0112,RATER-01,false
AUD-0113,RATER-01,false
AUD-0114,RATER-01,false
AUD-0115,RATER-01,false
AUD-0116,RATER-01,false
AUD-0117,RATER-01,false
AUD-0118,RATER-01,false
AUD-0119,RATER-01,false
AUD-0120,RATER-01,false
AUD-0121,RATER-01,false
AUD-0122,RATER-01,false
AUD-0123,RATER-01,false
AUD-0124,RATER-01,false
AUD-0125,RATER-01,false
AUD-0126,RATER-01,false
AUD-0127,RATER-01,false
AUD-0128,RATER-01,false
AUD-0129,RATER-01,false
AUD-0130,RATER-01,false
AUD-0131,RATER-01,false
AUD-0132,RATER-01,false
AUD-0133,RATER-01,false
AUD-0134,RATER-01,false
AUD-0135,RATER-01,false
AUD-0136,RATER-01,false
AUD-0137,RATER-01,false
AUD-0138,RATER-01,false
AUD-0139,RATER-01,false
AUD-0140,RATER-01,false
AUD-0141,RATER-01,false
AUD-0142,RATER-01,false
AUD-0143,RATER-01,false
AUD-0144,RATER-01,false
AUD-0145,RATER-01,false
AUD-0146,RATER-01,false
AUD-0147,RATER-01,false
AUD-0148,RATER-01,false
AUD-0149,RATER-01,false
AUD-0150,RATER-01,false
AUD-0151,RATER-01,false
AUD-0152,RATER-01,false
AUD-0153,RATER-01,false
AUD-0154,RATER-01,false
AUD-0155,RATER-01,false
AUD-0156,RATER-01,false
AUD-0157,RATER-01,false
AUD-0158,RATER-01,false
AUD-0159,RATER-01,false
AUD-0160,RATER-01,false
AUD-0161,RATER-01,false
AUD-0162,RATER-01,false
AUD-0163,RATER-01,false
